div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,manager_id,manager_name,caretaker,date_from,date_until,hometeam_uid,awayteam_uid,points_lastseason
E0,2008,2008-10-26,Aston Villa,9,0,3,4,Wigan,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,35,2,60
E0,2008,2009-04-18,Aston Villa,33,1,1,1,West Ham,1,1,146,Martin O'Neill,0,05aug2006,09aug2010,2,34,60
E0,2008,2009-04-25,Aston Villa,34,0,1,1,Bolton,1,1,146,Martin O'Neill,0,05aug2006,09aug2010,6,2,60
E0,2008,2008-09-27,Aston Villa,6,1,3,2,Sunderland,0,1,146,Martin O'Neill,0,05aug2006,09aug2010,2,29,60
E0,2008,2009-03-22,Aston Villa,30,0,0,0,Liverpool,3,5,146,Martin O'Neill,0,05aug2006,09aug2010,18,2,60
E0,2008,2008-12-26,Aston Villa,19,1,1,2,Arsenal,1,2,146,Martin O'Neill,0,05aug2006,09aug2010,2,1,60
E0,2008,2009-01-31,Aston Villa,24,1,1,0,Wigan,1,0,146,Martin O'Neill,0,05aug2006,09aug2010,2,35,60
E0,2008,2009-03-01,Aston Villa,27,1,1,2,Stoke,1,2,146,Martin O'Neill,0,05aug2006,09aug2010,2,28,60
E0,2008,2008-08-23,Aston Villa,2,0,0,2,Stoke,3,3,146,Martin O'Neill,0,05aug2006,09aug2010,28,2,60
E0,2008,2008-11-03,Aston Villa,11,0,0,0,Newcastle,3,2,146,Martin O'Neill,0,05aug2006,09aug2010,22,2,60
E0,2008,2009-05-04,Aston Villa,35,1,3,1,Hull,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,2,16,60
E0,2008,2008-08-31,Aston Villa,3,1,1,0,Liverpool,1,0,146,Martin O'Neill,0,05aug2006,09aug2010,2,18,60
E0,2008,2008-12-07,Aston Villa,16,0,3,3,Everton,0,2,146,Martin O'Neill,0,05aug2006,09aug2010,13,2,60
E0,2008,2008-09-15,Aston Villa,4,0,3,2,Tottenham,0,1,146,Martin O'Neill,0,05aug2006,09aug2010,31,2,60
E0,2008,2009-02-21,Aston Villa,26,1,0,0,Chelsea,3,1,146,Martin O'Neill,0,05aug2006,09aug2010,2,11,60
E0,2008,2008-11-29,Aston Villa,15,1,1,0,Fulham,1,0,146,Martin O'Neill,0,05aug2006,09aug2010,2,14,60
E0,2008,2008-11-22,Aston Villa,14,1,1,0,Man United,1,0,146,Martin O'Neill,0,05aug2006,09aug2010,2,20,60
E0,2008,2008-12-20,Aston Villa,18,0,3,1,West Ham,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,34,2,60
E0,2008,2008-11-09,Aston Villa,12,1,0,1,Middlesbrough,3,2,146,Martin O'Neill,0,05aug2006,09aug2010,2,21,60
E0,2008,2008-10-18,Aston Villa,8,1,1,0,Portsmouth,1,0,146,Martin O'Neill,0,05aug2006,09aug2010,2,24,60
E0,2008,2008-12-30,Aston Villa,20,0,3,1,Hull,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,16,2,60
E0,2008,2009-02-07,Aston Villa,25,0,3,2,Blackburn,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,4,2,60
E0,2008,2008-10-29,Aston Villa,10,1,3,3,Blackburn,0,2,146,Martin O'Neill,0,05aug2006,09aug2010,2,4,60
E0,2008,2009-01-10,Aston Villa,21,1,3,2,West Brom,0,1,146,Martin O'Neill,0,05aug2006,09aug2010,2,33,60
E0,2008,2009-01-27,Aston Villa,23,0,3,1,Portsmouth,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,24,2,60
E0,2008,2009-03-04,Aston Villa,28,0,0,0,Man City,3,2,146,Martin O'Neill,0,05aug2006,09aug2010,19,2,60
E0,2008,2009-03-15,Aston Villa,29,1,0,1,Tottenham,3,2,146,Martin O'Neill,0,05aug2006,09aug2010,2,31,60
E0,2008,2008-10-05,Aston Villa,7,0,0,0,Chelsea,3,2,146,Martin O'Neill,0,05aug2006,09aug2010,11,2,60
E0,2008,2008-11-15,Aston Villa,13,0,3,2,Arsenal,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,1,2,60
E0,2008,2009-01-17,Aston Villa,22,0,3,2,Sunderland,0,1,146,Martin O'Neill,0,05aug2006,09aug2010,29,2,60
E0,2008,2008-09-21,Aston Villa,5,0,3,2,West Brom,0,1,146,Martin O'Neill,0,05aug2006,09aug2010,33,2,60
E0,2008,2009-04-12,Aston Villa,32,1,1,3,Everton,1,3,146,Martin O'Neill,0,05aug2006,09aug2010,2,13,60
E0,2008,2009-05-24,Aston Villa,38,1,3,1,Newcastle,0,0,146,Martin O'Neill,0,05aug2006,09aug2010,2,22,60
E0,2008,2009-04-05,Aston Villa,31,0,0,2,Man United,3,3,146,Martin O'Neill,0,05aug2006,09aug2010,20,2,60
E0,2008,2009-05-16,Aston Villa,37,0,1,1,Middlesbrough,1,1,146,Martin O'Neill,0,05aug2006,09aug2010,21,2,60
E0,2008,2009-05-09,Aston Villa,36,0,0,1,Fulham,3,3,146,Martin O'Neill,0,05aug2006,09aug2010,14,2,60
E0,2008,2009-05-09,Blackburn,36,1,3,2,Portsmouth,0,0,205,Sam Allardyce,0,17dec2008,13dec2010,4,24,58
E0,2008,2008-10-25,Blackburn,9,1,1,1,Middlesbrough,1,1,171,Paul Ince,0,22jun2008,16dec2008,4,21,58
E0,2008,2009-01-31,Blackburn,23,0,1,0,Middlesbrough,1,0,205,Sam Allardyce,0,17dec2008,13dec2010,21,4,58
E0,2008,2009-03-21,Blackburn,30,1,1,1,West Ham,1,1,205,Sam Allardyce,0,17dec2008,13dec2010,4,34,58
E0,2008,2009-03-01,Blackburn,26,0,3,2,Hull,0,1,205,Sam Allardyce,0,17dec2008,13dec2010,16,4,58
E0,2008,2008-12-26,Blackburn,19,0,1,0,Sunderland,1,0,205,Sam Allardyce,0,17dec2008,13dec2010,29,4,58
E0,2008,2009-04-26,Blackburn,34,1,3,2,Wigan,0,0,205,Sam Allardyce,0,17dec2008,13dec2010,4,35,58
E0,2008,2008-09-13,Blackburn,4,1,0,0,Arsenal,3,4,171,Paul Ince,0,22jun2008,16dec2008,4,1,58
E0,2008,2009-05-24,Blackburn,38,1,1,0,West Brom,1,0,205,Sam Allardyce,0,17dec2008,13dec2010,4,33,58
E0,2008,2009-05-02,Blackburn,35,0,0,1,Man City,3,3,205,Sam Allardyce,0,17dec2008,13dec2010,19,4,58
E0,2008,2009-04-04,Blackburn,31,1,3,2,Tottenham,0,1,205,Sam Allardyce,0,17dec2008,13dec2010,4,31,58
E0,2008,2008-08-30,Blackburn,3,0,0,1,West Ham,3,4,171,Paul Ince,0,22jun2008,16dec2008,34,4,58
E0,2008,2009-02-07,Blackburn,24,1,0,0,Aston Villa,3,2,205,Sam Allardyce,0,17dec2008,13dec2010,4,2,58
E0,2008,2008-11-30,Blackburn,15,0,0,2,Portsmouth,3,3,171,Paul Ince,0,22jun2008,16dec2008,24,4,58
E0,2008,2009-01-17,Blackburn,21,1,3,3,Newcastle,0,0,205,Sam Allardyce,0,17dec2008,13dec2010,4,22,58
E0,2008,2008-11-09,Blackburn,12,1,0,0,Chelsea,3,2,171,Paul Ince,0,22jun2008,16dec2008,4,11,58
E0,2008,2008-11-15,Blackburn,13,1,0,1,Sunderland,3,2,171,Paul Ince,0,22jun2008,16dec2008,4,29,58
E0,2008,2008-09-27,Blackburn,6,0,3,2,Newcastle,0,1,171,Paul Ince,0,22jun2008,16dec2008,22,4,58
E0,2008,2009-03-14,Blackburn,29,0,0,0,Arsenal,3,4,205,Sam Allardyce,0,17dec2008,13dec2010,1,4,58
E0,2008,2008-09-20,Blackburn,5,1,3,1,Fulham,0,0,171,Paul Ince,0,22jun2008,16dec2008,4,14,58
E0,2008,2008-08-23,Blackburn,2,1,1,1,Hull,1,1,171,Paul Ince,0,22jun2008,16dec2008,4,16,58
E0,2008,2008-12-06,Blackburn,16,1,0,1,Liverpool,3,3,171,Paul Ince,0,22jun2008,16dec2008,4,18,58
E0,2008,2009-03-04,Blackburn,27,1,1,0,Everton,1,0,205,Sam Allardyce,0,17dec2008,13dec2010,4,13,58
E0,2008,2008-10-18,Blackburn,8,0,1,0,Bolton,1,0,171,Paul Ince,0,22jun2008,16dec2008,6,4,58
E0,2008,2008-10-29,Blackburn,10,0,0,2,Aston Villa,3,3,171,Paul Ince,0,22jun2008,16dec2008,2,4,58
E0,2008,2008-10-04,Blackburn,7,1,0,0,Man United,3,2,171,Paul Ince,0,22jun2008,16dec2008,4,20,58
E0,2008,2008-12-20,Blackburn,18,1,3,3,Stoke,0,0,205,Sam Allardyce,0,17dec2008,13dec2010,4,28,58
E0,2008,2008-11-01,Blackburn,11,0,1,2,West Brom,1,2,171,Paul Ince,0,22jun2008,16dec2008,33,4,58
E0,2008,2009-04-11,Blackburn,32,0,0,0,Liverpool,3,4,205,Sam Allardyce,0,17dec2008,13dec2010,18,4,58
E0,2008,2008-12-28,Blackburn,20,1,1,2,Man City,1,2,205,Sam Allardyce,0,17dec2008,13dec2010,4,19,58
E0,2008,2009-05-17,Blackburn,37,0,0,0,Chelsea,3,2,205,Sam Allardyce,0,17dec2008,13dec2010,11,4,58
E0,2008,2009-02-21,Blackburn,25,0,0,1,Man United,3,2,205,Sam Allardyce,0,17dec2008,13dec2010,20,4,58
E0,2008,2009-01-28,Blackburn,22,1,1,2,Bolton,1,2,205,Sam Allardyce,0,17dec2008,13dec2010,4,6,58
E0,2008,2009-03-11,Blackburn,28,0,3,2,Fulham,0,1,205,Sam Allardyce,0,17dec2008,13dec2010,14,4,58
E0,2008,2008-08-16,Blackburn,1,0,3,3,Everton,0,2,171,Paul Ince,0,22jun2008,16dec2008,13,4,58
E0,2008,2009-04-18,Blackburn,33,0,0,0,Stoke,3,1,205,Sam Allardyce,0,17dec2008,13dec2010,28,4,58
E0,2008,2008-11-23,Blackburn,14,0,0,0,Tottenham,3,1,171,Paul Ince,0,22jun2008,16dec2008,31,4,58
E0,2008,2008-12-13,Blackburn,17,0,0,0,Wigan,3,3,171,Paul Ince,0,22jun2008,16dec2008,35,4,58
E0,2008,2008-08-16,Bolton,1,1,3,3,Stoke,0,1,81,Gary Megson,0,25oct2007,30dec2009,6,28,37
E0,2008,2008-10-05,Bolton,7,0,3,3,West Ham,0,1,81,Gary Megson,0,25oct2007,30dec2009,34,6,37
E0,2008,2008-08-30,Bolton,3,1,1,0,West Brom,1,0,81,Gary Megson,0,25oct2007,30dec2009,6,33,37
E0,2008,2008-09-20,Bolton,5,1,0,1,Arsenal,3,3,81,Gary Megson,0,25oct2007,30dec2009,6,1,37
E0,2008,2008-09-27,Bolton,6,0,0,0,Man United,3,2,81,Gary Megson,0,25oct2007,30dec2009,20,6,37
E0,2008,2009-01-28,Bolton,23,0,1,2,Blackburn,1,2,81,Gary Megson,0,25oct2007,30dec2009,4,6,37
E0,2008,2009-03-04,Bolton,28,0,0,0,Stoke,3,2,81,Gary Megson,0,25oct2007,30dec2009,28,6,37
E0,2008,2009-04-04,Bolton,31,1,3,4,Middlesbrough,0,1,81,Gary Megson,0,25oct2007,30dec2009,6,21,37
E0,2008,2009-03-01,Bolton,27,1,3,1,Newcastle,0,0,81,Gary Megson,0,25oct2007,30dec2009,6,22,37
E0,2008,2008-12-13,Bolton,17,0,0,2,Aston Villa,3,4,81,Gary Megson,0,25oct2007,30dec2009,2,6,37
E0,2008,2008-11-29,Bolton,15,0,3,4,Sunderland,0,1,81,Gary Megson,0,25oct2007,30dec2009,29,6,37
E0,2008,2009-04-11,Bolton,32,0,0,3,Chelsea,3,4,81,Gary Megson,0,25oct2007,30dec2009,11,6,37
E0,2008,2008-12-20,Bolton,18,1,3,2,Portsmouth,0,1,81,Gary Megson,0,25oct2007,30dec2009,6,24,37
E0,2008,2008-10-29,Bolton,10,1,0,0,Everton,3,1,81,Gary Megson,0,25oct2007,30dec2009,6,13,37
E0,2008,2008-11-15,Bolton,13,1,0,0,Liverpool,3,2,81,Gary Megson,0,25oct2007,30dec2009,6,18,37
E0,2008,2008-12-06,Bolton,16,1,0,0,Chelsea,3,2,81,Gary Megson,0,25oct2007,30dec2009,6,11,37
E0,2008,2009-03-21,Bolton,30,0,1,1,West Brom,1,1,81,Gary Megson,0,25oct2007,30dec2009,33,6,37
E0,2008,2008-11-08,Bolton,12,0,3,1,Hull,0,0,81,Gary Megson,0,25oct2007,30dec2009,16,6,37
E0,2008,2008-08-23,Bolton,2,0,0,0,Newcastle,3,1,81,Gary Megson,0,25oct2007,30dec2009,22,6,37
E0,2008,2009-03-14,Bolton,29,1,0,1,Fulham,3,3,81,Gary Megson,0,25oct2007,30dec2009,6,14,37
E0,2008,2008-10-18,Bolton,8,1,1,0,Blackburn,1,0,81,Gary Megson,0,25oct2007,30dec2009,6,4,37
E0,2008,2009-05-09,Bolton,36,1,1,0,Sunderland,1,0,81,Gary Megson,0,25oct2007,30dec2009,6,29,37
E0,2008,2009-05-16,Bolton,37,1,1,1,Hull,1,1,81,Gary Megson,0,25oct2007,30dec2009,6,16,37
E0,2008,2009-04-18,Bolton,33,0,0,0,Portsmouth,3,1,81,Gary Megson,0,25oct2007,30dec2009,24,6,37
E0,2008,2009-02-07,Bolton,25,0,0,0,Everton,3,3,81,Gary Megson,0,25oct2007,30dec2009,13,6,37
E0,2008,2009-01-17,Bolton,22,1,0,0,Man United,3,1,81,Gary Megson,0,25oct2007,30dec2009,6,20,37
E0,2008,2008-12-28,Bolton,20,1,0,0,Wigan,3,1,81,Gary Megson,0,25oct2007,30dec2009,6,35,37
E0,2008,2008-12-26,Bolton,19,0,0,0,Liverpool,3,3,81,Gary Megson,0,25oct2007,30dec2009,18,6,37
E0,2008,2009-05-24,Bolton,38,0,0,0,Man City,3,1,81,Gary Megson,0,25oct2007,30dec2009,19,6,37
E0,2008,2008-11-02,Bolton,11,1,3,2,Man City,0,0,81,Gary Megson,0,25oct2007,30dec2009,6,19,37
E0,2008,2009-05-02,Bolton,35,0,1,0,Wigan,1,0,81,Gary Megson,0,25oct2007,30dec2009,35,6,37
E0,2008,2008-10-26,Bolton,9,0,0,0,Tottenham,3,2,81,Gary Megson,0,25oct2007,30dec2009,31,6,37
E0,2008,2009-04-25,Bolton,34,1,1,1,Aston Villa,1,1,81,Gary Megson,0,25oct2007,30dec2009,6,2,37
E0,2008,2008-11-22,Bolton,14,0,3,3,Middlesbrough,0,1,81,Gary Megson,0,25oct2007,30dec2009,21,6,37
E0,2008,2009-02-21,Bolton,26,1,3,2,West Ham,0,1,81,Gary Megson,0,25oct2007,30dec2009,6,34,37
E0,2008,2008-09-13,Bolton,4,0,0,1,Fulham,3,2,81,Gary Megson,0,25oct2007,30dec2009,14,6,37
E0,2008,2009-01-31,Bolton,24,1,3,3,Tottenham,0,2,81,Gary Megson,0,25oct2007,30dec2009,6,31,37
